Altium Designer Pick and Place Locations
Y:\MIN_MOW_03\05_DECAD\Moway\V3\ProjectOutputs\Assembly\Pick Place\Pick Place for MIN_MOW_Moway_V3 PCB.csv

========================================================================================================================
File Design Information:

Date:       10/04/18
Time:       11:30
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"U18","TC126233VDB","BottomLayer","SOT223_MCP","32.3300","31.4050","270","500mA Fixed Output CMOS LDO. 6V Vin, 3.3 Vout, 0.5Aout"
"U16","FDC6321CD84Z","TopLayer","SUPERSOT6_ONSEMI","27.5402","2.6390","180","Dual MOSFET, N and P Channel, 460 mA, 25 V, 0.33 ohm, 4.5 V, 800 mV"
"U15","FDC6321CD84Z","TopLayer","SUPERSOT6_ONSEMI","13.6592","8.0540","180","Dual MOSFET, N and P Channel, 460 mA, 25 V, 0.33 ohm, 4.5 V, 800 mV"
"U14","FDC6321CD84Z","BottomLayer","SUPERSOT6_ONSEMI","25.7301","3.7050","180","Dual MOSFET, N and P Channel, 460 mA, 25 V, 0.33 ohm, 4.5 V, 800 mV"
"U13","FDC6321CD84Z","BottomLayer","SUPERSOT6_ONSEMI","37.5152","8.1814","90","Dual MOSFET, N and P Channel, 460 mA, 25 V, 0.33 ohm, 4.5 V, 800 mV"
"U12","KRC011","TopLayer","KRC011","47.3050","32.4050","180","High Sensitivity Photointerrupter"
"U10","KRC011","TopLayer","KRC011","47.3050","5.6050","360","High Sensitivity Photointerrupter"
"R86","R100T10402","TopLayer","R0402","37.6000","35.2500","360","RESISTOR SMD 0402, 100Ohm, 1%"
"R85","R100KT10402","TopLayer","R0402","38.8301","32.9010","270","RESISTOR SMD 0402, 100kOhm, 1%"
"R84","R10KT10402","TopLayer","R0402","71.8768","13.5328","90","RESISTOR SMD 0402, 10kOhm, 1%"
"R83","R10KT10402","TopLayer","R0402","34.2550","30.2050","180","RESISTOR SMD 0402, 10kOhm, 1%"
"R82","R1KT10402","TopLayer","R0402","71.8734","15.4626","270","RESISTOR SMD 0402, 1kOhm, 1%"
"R81","R10KT10402","TopLayer","R0402","35.4612","35.2578","180","RESISTOR SMD 0402, 10kOhm, 1%"
"R80","R1KT10402","TopLayer","R0402","20.8215","35.3140","270","RESISTOR SMD 0402, 1kOhm, 1%"
"R79","R10KT10402","TopLayer","R0402","70.3702","13.0074","180","RESISTOR SMD 0402, 10kOhm, 1%"
"R78","R10KT10402","TopLayer","R0402","28.9174","35.5880","180","RESISTOR SMD 0402, 10kOhm, 1%"
"R77","R10KT10402","TopLayer","R0402","32.2769","32.1644","90","RESISTOR SMD 0402, 10kOhm, 1%"
"R76","R470T10402","TopLayer","R0402","8.4300","28.2050","270","RESISTOR SMD 0402, 470Ohm, 1%"
"R75","R150T10402","BottomLayer","R0402","71.6708","21.5900","180","RESISTOR SMD 0402, 150Ohm, 1%"
"R74","R3K3T10402","TopLayer","R0402","15.5891","33.2660","270","RESISTOR SMD 0402, 3.3kOhm, 1%"
"R73","R1KT10402","BottomLayer","R0402","34.5455","3.2512","180","RESISTOR SMD 0402, 1kOhm, 1%"
"R72","R1KT10402","BottomLayer","R0402","34.5455","4.3180","180","RESISTOR SMD 0402, 1kOhm, 1%"
"R71","R1KT10402","TopLayer","R0402","18.8435","5.6500","360","RESISTOR SMD 0402, 1kOhm, 1%"
"R70","R1KT10402","TopLayer","R0402","16.6935","5.6500","180","RESISTOR SMD 0402, 1kOhm, 1%"
"R69","R1KT10402","BottomLayer","R0402","22.5550","6.6300","180","RESISTOR SMD 0402, 1kOhm, 1%"
"R68","R1KT10402","BottomLayer","R0402","24.6300","6.6300","360","RESISTOR SMD 0402, 1kOhm, 1%"
"R67","R1KT10402","TopLayer","R0402","23.4935","6.6250","360","RESISTOR SMD 0402, 1kOhm, 1%"
"R66","R1KT10402","TopLayer","R0402","23.5050","5.6050","360","RESISTOR SMD 0402, 1kOhm, 1%"
"R65","R1MT10402","BottomLayer","R0402","30.8550","10.0550","360","RESISTOR SMD 0402, 1MOhm, 1%"
"R64","R1MT10402","TopLayer","R0402","30.0935","8.4500","270","RESISTOR SMD 0402, 1MOhm, 1%"
"R63","R1MT10402","TopLayer","R0402","13.3185","4.1000","270","RESISTOR SMD 0402, 1MOhm, 1%"
"R62","R1MT10402","BottomLayer","R0402","28.5300","3.8050","270","RESISTOR SMD 0402, 1MOhm, 1%"
"R61","R1KT10402","TopLayer","R0402","28.0664","10.0858","360","RESISTOR SMD 0402, 1kOhm, 1%"
"R60","R1KT10402","TopLayer","R0402","30.8211","3.4036","360","RESISTOR SMD 0402, 1kOhm, 1%"
"R59","R1KT10402","TopLayer","R0402","13.2100","11.4876","360","RESISTOR SMD 0402, 1kOhm, 1%"
"R58","R1KT10402","TopLayer","R0402","12.1685","4.1000","90","RESISTOR SMD 0402, 1kOhm, 1%"
"R57","R1KT10402","BottomLayer","R0402","23.1050","1.0300","360","RESISTOR SMD 0402, 1kOhm, 1%"
"R56","R1KT10402","BottomLayer","R0402","29.0300","2.0800","360","RESISTOR SMD 0402, 1kOhm, 1%"
"R55","R1KT10402","TopLayer","R0402","31.7300","9.1800","90","RESISTOR SMD 0402, 1kOhm, 1%"
"R54","R1KT10402","BottomLayer","R0402","34.2000","7.2500","90","RESISTOR SMD 0402, 1kOhm, 1%"
"R52","R15KT10402","TopLayer","R0402","46.8137","30.5054","180","RESISTOR SMD 0402, 15kOhm, 1%"
"R51","R10KT10402","TopLayer","R0402","52.5948","12.2272","180","RESISTOR SMD 0402, 10kOhm, 1%"
"R50","R560T10402","TopLayer","R0402","44.8435","11.0500","90","RESISTOR SMD 0402, 560Ohm, 1%"
"R49","R10KT10402","TopLayer","R0402","52.5948","11.2022","180","RESISTOR SMD 0402, 10kOhm, 1%"
"R48","R10KT10402","TopLayer","R0402","46.7685","9.0750","180","RESISTOR SMD 0402, 10kOhm, 1%"
"R47","R15KT10402","TopLayer","R0402","46.7685","7.9250","180","RESISTOR SMD 0402, 15kOhm, 1%"
"Q14","BC81740MTF","TopLayer","SOT23_FAIRCHILD","29.4486","32.4306","180","Bipolar (BJT) Single Transistor, NPN, 45 V, 170 MHz, 300 mW, 500 mA, 250 hFE"
"Q13","BC81740MTF","TopLayer","SOT23_FAIRCHILD","18.5550","8.9050","90","Bipolar (BJT) Single Transistor, NPN, 45 V, 170 MHz, 300 mW, 500 mA, 250 hFE"
"Q12","BC81740MTF","BottomLayer","SOT23_FAIRCHILD","27.6809","9.1058","360","Bipolar (BJT) Single Transistor, NPN, 45 V, 170 MHz, 300 mW, 500 mA, 250 hFE"
"Q11","BC81740MTF","TopLayer","SOT23_FAIRCHILD","16.5250","2.9000","180","Bipolar (BJT) Single Transistor, NPN, 45 V, 170 MHz, 300 mW, 500 mA, 250 hFE"
"Q10","BC81740MTF","BottomLayer","SOT23_FAIRCHILD","23.3550","9.0550","270","Bipolar (BJT) Single Transistor, NPN, 45 V, 170 MHz, 300 mW, 500 mA, 250 hFE"
"Q9","BC81740MTF","BottomLayer","SOT23_FAIRCHILD","31.2050","6.4550","180","Bipolar (BJT) Single Transistor, NPN, 45 V, 170 MHz, 300 mW, 500 mA, 250 hFE"
"Q8","BC81740MTF","BottomLayer","SOT23_FAIRCHILD","37.7051","2.7050","360","Bipolar (BJT) Single Transistor, NPN, 45 V, 170 MHz, 300 mW, 500 mA, 250 hFE"
"Q7","BC81740MTF","TopLayer","SOT23_FAIRCHILD","31.2800","5.7550","90","Bipolar (BJT) Single Transistor, NPN, 45 V, 170 MHz, 300 mW, 500 mA, 250 hFE"
"Q6","BC81740MTF","TopLayer","SOT23_FAIRCHILD","26.5853","7.3348","0","Bipolar (BJT) Single Transistor, NPN, 45 V, 170 MHz, 300 mW, 500 mA, 250 hFE"
"Q5","BC81740MTF","TopLayer","SOT23_FAIRCHILD","49.4800","11.2800","90","Bipolar (BJT) Single Transistor, NPN, 45 V, 170 MHz, 300 mW, 500 mA, 250 hFE"
"D10","KPHCM2012CGCK","BottomLayer","LED0805","72.6800","27.8550","180","LED, Low Power, Green, SMD, 20 mA, 2.1 V, 570 nm"
"D9","KPHCM2012SURCK","BottomLayer","LED0805","72.6800","23.9550","180","LED, Low Power, Red, SMD, 20 mA, 1.95 V, 630 nm"
"C28","C10UV10X5R0603","BottomLayer","C0603","38.2980","29.7078","90","CAPACITOR SMD 0603, 10uF, 10V, X5R"
"C27","C10UV10X5R0603","BottomLayer","C0603","33.4138","27.1780","360","CAPACITOR SMD 0603, 10uF, 10V, X5R"
"C26","C4U7V10X5R0402","TopLayer","C0402","15.2500","35.8750","180","CAPACITOR SMD 0402, 4.7uF, 10V, X5R"
"C25","C4U7V10X5R0402","TopLayer","C0402","12.0300","27.9800","360","CAPACITOR SMD 0402, 4.7uF, 10V, X5R"
"C24","C1NV10X7R0402","TopLayer","C0402","21.0550","5.6550","360","CAPACITOR SMD 0402, 1nF, 10V, X7R"
"C23","C1NV10X7R0402","TopLayer","C0402","37.5690","5.6200","360","CAPACITOR SMD 0402, 1nF, 10V, X7R"
"C22","C100NV10X7R0402","TopLayer","C0402","44.5464","19.2138","270","CAPACITOR SMD 0402, 100nF, 10V, X7R"
"J7","BM02BSRSSTB","TopLayer","BM02BSRSSTB_JST","21.1050","2.4885","180","Wire-To-Board Connector, Top Entry, 1 mm, 2 Contacts, Header, SR Series, Surface Mount, 1 Rows"
"J6","BM02BSRSSTB","TopLayer","BM02BSRSSTB_JST","37.5640","2.4885","180","Wire-To-Board Connector, Top Entry, 1 mm, 2 Contacts, Header, SR Series, Surface Mount, 1 Rows"
"J8","BM02BSRSSTB","TopLayer","BM02BSRSSTB_JST","24.7800","35.5425","0","Wire-To-Board Connector, Top Entry, 1 mm, 2 Contacts, Header, SR Series, Surface Mount, 1 Rows"
"R53","R560T10402","TopLayer","R0402","49.1050","30.5050","180","RESISTOR SMD 0402, 560Ohm, 1%"
"C31","C1UV10X5R0402","BottomLayer","C0402","49.5046","27.9312","270","CAPACITOR SMD 0402, 1uF, 10V, X5R"
"C29","C100NV10X7R0402","TopLayer","C0402","69.7550","15.1050","270","CAPACITOR SMD 0402, 100nF, 10V, X7R"
